2 672.77
3 666.034
4 510.223
5 527.866
6 448.342
7 392.097
8 351.444
9 372.258
10 347.04
11 322.847
12 301.472
13 282.109
14 265.36
15 251.794
16 238.022
17 265.891
18 252.986
19 242.092
20 232.768
21 224.998
22 217.681
23 209.932
24 203.134
25 197.644
26 192.559
27 188.903
28 184.832
29 179.633
30 174.273
31 170.251
32 169.874
33 185.756
34 180.591
35 177.318
36 174.382
37 171.607
38 168.322
39 166.234
40 162.429
41 159.892
42 158.128
43 154.935
44 154.591
45 152.156
46 150.423
47 148.209
48 145.717
49 144.149
50 142.369
51 141.127
52 139.228
53 137.232
54 135.816
55 134.542
56 133.434
57 132.287
58 130.16
59 128.809
60 127.693
61 126.593
62 125.077
63 123.816
64 123.276
65 133.077
66 131.823
67 130.723
68 129.436
69 128.413
